latitude,longitude
45.175,19.260
45.173,19.250
45.177,19.247
45.175,19.239
45.179,19.233
45.184,19.229
45.186,19.221
45.187,19.214
45.191,19.210
45.200,19.191
45.202,19.185
45.200,19.179
45.202,19.176
45.200,19.171
45.190,19.166
45.185,19.184
45.179,19.194
45.167,19.188
45.130,19.142
45.134,19.120
45.138,19.114
45.146,19.087
45.139,19.088
45.134,19.081
45.127,19.078
45.115,19.077
45.113,19.077
45.111,19.084
45.110,19.082
45.106,19.086
45.106,19.088
45.101,19.094
45.100,19.093
45.097,19.095
45.093,19.092
45.086,19.098
45.083,19.101
45.081,19.106
45.058,19.095
45.055,19.102
45.052,19.102
45.051,19.106
45.048,19.104
45.048,19.102
45.045,19.102
45.044,19.103
45.038,19.095
45.034,19.096
45.033,19.099
45.030,19.099
45.028,19.100
45.027,19.098
45.018,19.100
45.011,19.103
45.006,19.096
45.000,19.095
44.996,19.090
44.994,19.087
44.989,19.081
44.983,19.062
44.980,19.053
44.978,19.052
44.974,19.064
44.973,19.071
44.972,19.075
44.974,19.081
44.974,19.086
44.971,19.092
44.972,19.103
44.970,19.109
44.971,19.114
44.976,19.117
44.981,19.136
44.976,19.146
44.968,19.146
44.958,19.146
44.958,19.153
44.956,19.153
44.953,19.155
44.950,19.150
44.947,19.142
44.946,19.143
44.941,19.141
44.939,19.125
44.939,19.123
44.935,19.118
44.933,19.111
44.934,19.109
44.933,19.103
44.931,19.104
44.926,19.088
44.924,19.087
44.923,19.084
44.920,19.084
44.918,19.086
44.916,19.087
44.916,19.083
44.913,19.081
44.910,19.086
44.907,19.082
44.907,19.075
44.902,19.068
44.912,19.044
44.921,19.036
44.923,19.031
44.921,19.015
44.916,18.999
44.913,18.999
44.906,18.988
44.903,18.990
44.896,18.991
44.885,18.999
44.884,19.004
44.856,19.022
44.855,19.016
44.852,19.009
44.854,19.023
44.859,19.041
44.864,19.068
44.873,19.074
44.881,19.084
44.883,19.090
44.886,19.117
44.887,19.120
44.889,19.121
44.891,19.124
44.897,19.128
44.907,19.159
44.913,19.166
44.918,19.184
44.913,19.201
44.907,19.202
44.901,19.205
44.897,19.214
44.898,19.226
44.910,19.247
44.912,19.256
44.909,19.263
44.907,19.265
44.902,19.276
44.905,19.289
44.906,19.308
44.898,19.326
44.896,19.329
44.891,19.352
44.880,19.352
44.883,19.358
44.885,19.361
44.880,19.371
44.875,19.373
44.867,19.370
44.864,19.374
44.862,19.375
44.853,19.374
44.852,19.369
44.850,19.365
44.847,19.362
44.844,19.357
44.841,19.355
44.838,19.351
44.833,19.361
44.828,19.362
44.826,19.355
44.826,19.344
44.822,19.339
44.819,19.331
44.820,19.322
44.812,19.321
44.808,19.313
44.804,19.315
44.799,19.316
44.792,19.318
44.790,19.302
44.786,19.301
44.783,19.299
44.780,19.299
44.777,19.309
44.778,19.328
44.772,19.327
44.770,19.310
44.767,19.307
44.764,19.303
44.759,19.314
44.754,19.314
44.746,19.331
44.740,19.320
44.720,19.318
44.717,19.315
44.717,19.313
44.707,19.311
44.704,19.309
44.699,19.309
44.692,19.298
44.685,19.288
44.682,19.285
44.678,19.284
44.671,19.280
44.662,19.281
44.658,19.274
44.654,19.275
44.648,19.271
44.646,19.271
44.635,19.263
44.635,19.258
44.633,19.253
44.627,19.245
44.623,19.243
44.621,19.243
44.609,19.237
44.604,19.231
44.601,19.228
44.596,19.231
44.592,19.230
44.589,19.227
44.586,19.221
44.574,19.216
44.574,19.208
44.574,19.203
44.576,19.199
44.573,19.189
44.570,19.187
44.568,19.188
44.566,19.187
44.563,19.189
44.558,19.196
44.554,19.197
44.546,19.199
44.544,19.197
44.541,19.194
44.538,19.193
44.534,19.186
44.534,19.183
44.525,19.174
44.522,19.169
44.519,19.166
44.520,19.140
44.517,19.134
44.517,19.132
44.507,19.129
44.504,19.128
44.487,19.130
44.456,19.141
44.433,19.146
44.426,19.150
44.418,19.149
44.413,19.147
44.408,19.144
44.396,19.117
44.395,19.115
44.390,19.111
44.371,19.108
44.364,19.118
44.355,19.116
44.347,19.119
44.338,19.129
44.333,19.133
44.317,19.133
44.311,19.135
44.308,19.146
44.289,19.157
44.283,19.164
44.279,19.169
44.281,19.189
44.285,19.196
44.288,19.205
44.286,19.212
44.268,19.222
44.267,19.227
44.264,19.229
44.263,19.241
44.271,19.277
44.268,19.305
44.269,19.315
44.266,19.324
44.244,19.337
44.229,19.345
44.217,19.346
44.205,19.358
44.191,19.357
44.182,19.364
44.162,19.407
44.153,19.412
44.147,19.415
44.140,19.422
44.134,19.447
44.149,19.465
44.148,19.474
44.144,19.477
44.144,19.479
44.138,19.479
44.127,19.474
44.121,19.477
44.120,19.481
44.115,19.491
44.102,19.498
44.094,19.501
44.084,19.507
44.080,19.517
44.078,19.519
44.075,19.526
44.074,19.543
44.066,19.558
44.063,19.560
44.057,19.562
44.051,19.565
44.047,19.574
44.047,19.581
44.065,19.584
44.066,19.600
44.060,19.605
44.050,19.608
44.052,19.618
44.050,19.622
44.047,19.623
44.017,19.621
44.013,19.613
44.004,19.579
43.994,19.565
43.980,19.564
43.976,19.549
43.974,19.545
43.969,19.535
43.963,19.527
43.956,19.523
43.954,19.518
43.949,19.492
43.958,19.410
43.964,19.400
43.961,19.391
43.955,19.381
43.961,19.352
43.978,19.345
43.984,19.317
43.985,19.307
43.990,19.298
43.992,19.272
44.004,19.250
44.008,19.232
44.001,19.229
43.990,19.230
43.983,19.233
43.974,19.234
43.961,19.247
43.951,19.247
43.947,19.244
43.932,19.253
43.928,19.264
43.909,19.281
43.888,19.312
43.872,19.324
43.848,19.358
43.838,19.363
43.835,19.378
43.818,19.384
43.808,19.405
43.798,19.412
43.788,19.446
43.773,19.465
43.742,19.473
43.724,19.509
43.715,19.516
43.711,19.516
43.703,19.512
43.667,19.517
43.656,19.516
43.649,19.515
43.643,19.511
43.638,19.507
43.636,19.503
43.637,19.492
43.609,19.498
43.593,19.513
43.585,19.509
43.580,19.502
43.577,19.494
43.573,19.485
43.582,19.451
43.581,19.444
43.573,19.441
43.554,19.429
43.547,19.432
43.541,19.430
43.539,19.416
43.542,19.401
43.550,19.389
43.575,19.398
43.581,19.396
43.592,19.398
43.594,19.394
43.596,19.378
43.606,19.374
43.609,19.369
43.608,19.361
43.602,19.355
43.599,19.347
43.582,19.325
43.583,19.305
43.581,19.296
43.591,19.260
43.591,19.250
43.582,19.238
43.528,19.235
43.519,19.231
43.514,19.224
43.520,19.201
43.529,19.184
43.528,19.156
43.523,19.137
43.515,19.063
43.506,19.037
43.508,19.036
43.515,19.037
43.517,19.035
43.520,19.035
43.521,19.034
43.530,19.035
43.533,19.032
43.535,19.028
43.540,19.023
43.542,19.007
43.545,19.005
43.546,19.001
43.549,19.000
43.551,18.997
43.552,18.987
43.547,18.986
43.541,18.981
43.539,18.976
43.532,18.975
43.527,18.963
43.525,18.942
43.503,18.914
43.498,18.912
43.495,18.918
43.492,18.923
43.496,18.924
43.500,18.927
43.502,18.928
43.506,18.931
43.507,18.940
43.497,18.945
43.486,18.963
43.478,18.961
43.457,18.959
43.454,18.963
43.456,18.972
43.448,18.990
43.444,19.007
43.440,19.009
43.436,19.015
43.426,19.019
43.423,19.021
43.416,19.022
43.412,19.024
43.389,19.027
43.379,19.029
43.373,19.033
43.366,19.036
43.358,19.052
43.351,19.061
43.347,19.063
43.342,19.077
43.340,19.082
43.325,19.095
43.316,19.095
43.313,19.093
43.309,19.092
43.308,19.090
43.302,19.090
43.300,19.081
43.302,19.071
43.301,19.059
43.299,19.055
43.300,19.045
43.301,19.038
43.293,19.039
43.267,19.021
43.266,19.018
43.264,19.018
43.258,19.000
43.261,18.998
43.263,18.995
43.265,18.987
43.269,18.978
43.279,18.979
43.291,18.952
43.297,18.948
43.316,18.949
43.318,18.952
43.321,18.955
43.328,18.958
43.331,18.957
43.334,18.956
43.338,18.939
43.362,18.912
43.363,18.907
43.363,18.904
43.361,18.901
43.360,18.896
43.361,18.871
43.360,18.865
43.360,18.855
43.356,18.850
43.350,18.849
43.348,18.842
43.320,18.845
43.308,18.793
43.292,18.754
43.283,18.729
43.258,18.686
43.252,18.695
43.248,18.699
43.245,18.704
43.233,18.711
43.224,18.712
43.220,18.697
43.202,18.665
43.196,18.658
43.188,18.656
43.185,18.653
43.163,18.652
43.143,18.645
43.045,18.652
43.039,18.633
43.033,18.537
43.029,18.531
43.028,18.530
43.027,18.527
42.980,18.499
42.940,18.489
42.910,18.493
42.902,18.500
42.898,18.501
42.894,18.504
42.884,18.489
42.872,18.486
42.859,18.462
42.842,18.460
42.818,18.466
42.811,18.456
42.794,18.459
42.751,18.477
42.749,18.487
42.743,18.495
42.739,18.495
42.735,18.513
42.730,18.520
42.727,18.527
42.728,18.547
42.724,18.551
42.723,18.555
42.715,18.557
42.708,18.555
42.690,18.543
42.682,18.546
42.670,18.558
42.669,18.560
42.658,18.562
42.654,18.559
42.650,18.558
42.646,18.550
42.643,18.541
42.635,18.527
42.633,18.524
42.632,18.521
42.623,18.515
42.616,18.516
42.601,18.532
42.590,18.540
42.588,18.540
42.588,18.532
42.594,18.510
42.595,18.495
42.591,18.486
42.578,18.479
42.575,18.474
42.564,18.469
42.558,18.450
42.557,18.438
42.550,18.440
42.538,18.438
42.520,18.437
42.509,18.447
42.498,18.440
42.484,18.434
42.480,18.441
42.474,18.449
42.468,18.465
42.449,18.486
42.440,18.496
42.430,18.508
42.422,18.526
41.947,19.151
41.854,19.356
41.864,19.357
41.864,19.375
41.875,19.376
41.885,19.381
41.889,19.378
41.891,19.373
41.899,19.366
41.902,19.351
41.907,19.345
41.913,19.347
41.919,19.366
41.924,19.371
41.929,19.370
41.935,19.362
41.948,19.352
41.957,19.354
41.960,19.361
41.961,19.375
41.963,19.384
41.968,19.389
41.978,19.377
41.995,19.380
42.022,19.370
42.034,19.370
42.046,19.377
42.070,19.381
42.078,19.387
42.086,19.392
42.102,19.405
42.182,19.291
42.239,19.351
42.249,19.355
42.294,19.387
42.327,19.423
42.350,19.419
42.365,19.429
42.381,19.437
42.383,19.442
42.389,19.453
42.395,19.474
42.408,19.487
42.440,19.509
42.445,19.524
42.451,19.523
42.459,19.533
42.470,19.541
42.473,19.546
42.493,19.561
42.516,19.569
42.522,19.578
42.532,19.603
42.536,19.606
42.540,19.612
42.546,19.624
42.553,19.624
42.569,19.615
42.578,19.618
42.586,19.622
42.597,19.635
42.610,19.647
42.631,19.669
42.632,19.673
42.634,19.676
42.632,19.691
42.636,19.694
42.641,19.692
42.646,19.701
42.650,19.707
42.660,19.712
42.660,19.724
42.661,19.728
42.663,19.730
42.665,19.733
42.664,19.739
42.650,19.746
42.642,19.764
42.635,19.759
42.632,19.759
42.629,19.755
42.622,19.755
42.620,19.758
42.611,19.768
42.596,19.780
42.590,19.782
42.587,19.778
42.583,19.769
42.581,19.758
42.574,19.754
42.567,19.760
42.545,19.751
42.521,19.767
42.511,19.768
42.498,19.792
42.490,19.797
42.485,19.802
42.482,19.803
42.472,19.835
42.472,19.842
42.475,19.846
42.484,19.844
42.483,19.855
42.487,19.864
42.485,19.874
42.500,19.882
42.489,19.901
42.492,19.908
42.500,19.911
42.507,19.909
42.510,19.912
42.512,19.929
42.518,19.938
42.521,19.948
42.516,19.960
42.516,19.999
42.512,20.008
42.524,20.018
42.541,20.018
42.546,20.021
42.549,20.048
42.562,20.065
42.558,20.083
42.554,20.093
42.537,20.107
42.533,20.117
42.528,20.126
42.524,20.129
42.516,20.155
42.509,20.172
42.481,20.186
42.472,20.192
42.468,20.199
42.456,20.200
42.434,20.228
42.421,20.234
42.417,20.232
42.412,20.219
42.405,20.214
42.395,20.222
42.387,20.243
42.380,20.251
42.359,20.251
42.353,20.243
42.349,20.241
42.340,20.251
42.330,20.246
42.320,20.264
42.326,20.294
42.316,20.308
42.316,20.315
42.328,20.331
42.330,20.342
42.326,20.352
42.322,20.356
42.311,20.359
42.310,20.369
42.308,20.376
42.306,20.384
42.299,20.399
42.288,20.408
42.286,20.411
42.275,20.455
42.273,20.457
42.261,20.480
42.253,20.485
42.248,20.496
42.239,20.504
42.227,20.512
42.218,20.526
42.213,20.529
42.206,20.531
42.196,20.534
42.185,20.537
42.169,20.551
42.158,20.553
42.145,20.566
42.138,20.566
42.123,20.573
42.106,20.569
42.097,20.573
42.084,20.562
42.078,20.562
42.062,20.576
42.049,20.596
42.043,20.601
42.021,20.602
41.997,20.618
41.992,20.620
41.983,20.625
41.979,20.631
41.969,20.633
41.959,20.630
41.942,20.628
41.940,20.625
41.937,20.625
41.934,20.618
41.930,20.602
41.916,20.590
41.895,20.594
41.888,20.599
41.882,20.599
41.879,20.596
41.879,20.591
41.875,20.596
41.869,20.601
41.857,20.616
41.857,20.624
41.882,20.657
41.878,20.673
41.872,20.678
41.868,20.677
41.864,20.680
41.861,20.689
41.863,20.705
41.869,20.719
41.870,20.729
41.879,20.736
41.889,20.737
41.898,20.745
41.898,20.753
41.901,20.756
41.911,20.757
41.919,20.760
41.924,20.768
41.933,20.768
41.936,20.762
41.940,20.763
41.945,20.760
41.949,20.755
41.954,20.755
41.961,20.765
41.969,20.762
41.974,20.757
41.975,20.752
41.984,20.747
41.989,20.748
42.000,20.743
42.015,20.754
42.018,20.754
42.022,20.750
42.031,20.751
42.035,20.758
42.046,20.758
42.050,20.755
42.056,20.756
42.068,20.779
42.074,20.784
42.079,20.782
42.085,20.789
42.086,20.823
42.088,20.832
42.095,20.841
42.097,20.850
42.098,20.884
42.100,20.889
42.106,20.894
42.114,20.906
42.127,20.920
42.127,20.929
42.130,20.935
42.135,20.938
42.139,20.975
42.143,20.992
42.147,20.997
42.151,21.005
42.153,21.025
42.156,21.030
42.164,21.034
42.170,21.049
42.185,21.066
42.191,21.075
42.194,21.086
42.197,21.092
42.203,21.095
42.210,21.113
42.196,21.155
42.190,21.163
42.177,21.165
42.170,21.171
